SNo,Di00,Di01,Di02,Di03,Di04,Di05,Do00,Do01,Do02
696,1,1,0,0,1,0,0,0,1
697,0,1,0,1,1,0,1,1,1
698,0,1,1,0,1,0,1,1,1
699,1,1,1,1,0,0,0,0,0
700,0,1,1,0,0,1,1,1,1
701,1,1,1,1,0,0,0,0,0
702,1,0,0,1,1,1,1,1,0
703,0,0,0,0,1,1,0,0,0
704,1,0,0,0,0,0,1,0,0
705,1,1,1,0,0,0,0,1,0
706,1,1,0,1,0,0,0,1,0
707,0,0,0,0,1,0,0,0,1
708,0,0,1,0,1,1,0,1,0
709,1,1,1,1,0,0,0,0,0
710,0,0,0,1,1,1,0,1,0
711,0,0,0,1,1,1,0,1,0
712,0,1,1,0,0,0,1,1,0
713,0,0,0,0,1,0,0,0,1
714,0,1,1,1,0,0,1,0,0
715,0,0,1,0,0,1,0,1,1
716,1,0,0,1,0,0,1,1,0
717,1,0,0,1,0,1,1,1,1
718,0,0,1,1,1,0,0,0,1
719,1,0,0,1,0,0,1,1,0
720,1,0,0,0,1,1,1,0,0
721,0,1,1,0,0,1,1,1,1
722,1,1,0,0,0,1,0,0,1
723,1,0,0,0,1,0,1,0,1
724,0,0,0,1,1,1,0,1,0
725,0,0,1,1,1,1,0,0,0
726,0,1,1,1,0,1,1,0,1
727,0,0,1,0,1,0,0,1,1
728,1,1,0,1,1,0,0,1,1
729,0,1,1,0,1,0,1,1,1
730,0,1,1,0,1,0,1,1,1
731,1,1,1,1,1,0,0,0,1
732,1,0,0,1,1,1,1,1,0
733,0,0,1,0,1,0,0,1,1
734,0,1,0,1,1,0,1,1,1
735,0,0,0,0,0,1,0,0,1
736,1,0,0,1,0,0,1,1,0
737,0,1,1,0,1,1,1,1,0
738,0,1,0,1,0,0,1,1,0
739,1,1,0,1,1,0,0,1,1
740,0,1,0,0,0,1,1,0,1
741,1,1,0,0,0,0,0,0,0
742,0,0,1,0,1,1,0,1,0
743,0,1,1,1,1,0,1,0,1
744,0,0,0,0,1,0,0,0,1
745,0,1,1,0,0,0,1,1,0
746,0,0,0,1,0,0,0,1,0
747,0,1,0,1,0,1,1,1,1
748,0,0,1,0,1,1,0,1,0
749,0,1,0,1,0,0,1,1,0
750,1,1,1,1,0,0,0,0,0
751,1,1,1,0,0,1,0,1,1
752,0,0,1,0,0,0,0,1,0
753,1,0,1,0,1,0,1,1,1
754,0,0,1,1,0,1,0,0,1
755,0,0,1,0,0,1,0,1,1
756,0,0,1,1,0,1,0,0,1
757,1,1,1,0,1,1,0,1,0
758,0,0,0,1,1,0,0,1,1
759,0,0,1,1,1,1,0,0,0
760,1,0,1,0,0,0,1,1,0
761,0,1,0,1,0,0,1,1,0
762,1,1,1,0,1,0,0,1,1
763,0,0,1,0,0,0,0,1,0
764,1,1,0,0,0,1,0,0,1
765,1,1,1,1,0,0,0,0,0
766,1,1,1,1,1,1,0,0,0
767,1,1,0,0,1,0,0,0,1
768,0,1,1,1,0,0,1,0,0
769,0,0,1,1,0,0,0,0,0
770,1,0,1,0,0,0,1,1,0
771,0,1,1,1,0,0,1,0,0
772,0,1,1,1,1,1,1,0,0
773,1,0,1,0,1,0,1,1,1
774,0,1,0,0,1,0,1,0,1
775,0,0,0,0,1,1,0,0,0
776,0,0,0,1,1,1,0,1,0
777,1,1,0,1,1,0,0,1,1
778,1,0,0,0,1,0,1,0,1
779,0,1,0,0,0,0,1,0,0
780,1,0,0,0,0,0,1,0,0
781,1,1,0,1,1,1,0,1,0
782,0,0,1,0,1,0,0,1,1
783,1,0,0,0,0,0,1,0,0
784,1,0,0,0,0,1,1,0,1
785,0,1,0,0,1,1,1,0,0
786,1,0,0,0,1,1,1,0,0
787,1,0,1,1,1,1,1,0,0
788,1,0,0,0,0,0,1,0,0
789,1,1,1,1,1,0,0,0,1
790,1,1,1,1,0,1,0,0,1
791,1,0,0,1,0,0,1,1,0
792,1,1,0,1,0,0,0,1,0
793,1,1,0,1,1,1,0,1,0
794,1,0,1,0,0,0,1,1,0
795,1,1,0,0,0,0,0,0,0
796,1,0,1,1,0,0,1,0,0
797,0,1,1,1,0,1,1,0,1
798,1,0,0,1,1,0,1,1,1
799,1,0,0,1,1,1,1,1,0
800,0,0,0,0,0,1,0,0,1
801,0,1,0,0,1,1,1,0,0
802,0,0,0,0,1,1,0,0,0
803,0,1,0,1,0,1,1,1,1
804,1,1,1,0,0,0,0,1,0
805,1,0,1,1,0,1,1,0,1
806,0,1,0,0,1,1,1,0,0
807,0,1,1,1,0,1,1,0,1
808,1,1,0,0,1,0,0,0,1
809,1,0,0,0,1,0,1,0,1
810,1,1,0,0,0,1,0,0,1
811,0,1,1,0,1,0,1,1,1
812,0,1,0,0,1,1,1,0,0
813,1,0,0,1,1,1,1,1,0
814,1,1,0,1,1,1,0,1,0
815,1,1,0,1,0,1,0,1,1
816,1,0,0,0,0,1,1,0,1
817,0,0,1,0,1,1,0,1,0
818,1,0,1,0,0,1,1,1,1
819,1,1,0,0,0,1,0,0,1
820,0,1,1,1,1,1,1,0,0
821,0,1,1,1,1,1,1,0,0
822,1,1,1,1,1,1,0,0,0
823,1,1,1,0,1,0,0,1,1
824,0,1,0,0,0,0,1,0,0
825,1,0,1,1,1,1,1,0,0
826,1,0,1,0,0,0,1,1,0
827,0,0,1,1,1,1,0,0,0
828,1,0,1,1,0,1,1,0,1
829,1,1,1,0,1,0,0,1,1
830,0,1,1,0,1,0,1,1,1
831,1,1,1,0,0,1,0,1,1
832,1,1,0,0,0,1,0,0,1
833,1,0,1,1,1,1,1,0,0
834,0,0,1,0,1,0,0,1,1
835,1,0,0,0,1,1,1,0,0
836,1,1,0,0,1,1,0,0,0
837,1,1,1,0,1,1,0,1,0
838,0,1,1,0,1,0,1,1,1
839,0,1,0,1,1,1,1,1,0
840,0,1,0,1,1,1,1,1,0
841,0,1,1,1,1,0,1,0,1
842,0,0,0,1,1,1,0,1,0
843,0,0,1,0,1,1,0,1,0
844,1,0,1,0,1,1,1,1,0
845,1,0,0,1,1,0,1,1,1
846,1,0,1,0,1,1,1,1,0
847,1,1,0,0,0,0,0,0,0
848,1,1,1,0,0,1,0,1,1
849,0,0,1,0,0,1,0,1,1
850,0,0,1,0,0,0,0,1,0
851,0,0,0,0,0,1,0,0,1
852,0,1,0,1,0,0,1,1,0
853,1,0,0,0,0,0,1,0,0
854,1,0,1,0,1,1,1,1,0
855,0,0,1,0,0,1,0,1,1
856,0,1,1,1,1,1,1,0,0
857,1,0,0,0,0,1,1,0,1
858,0,0,1,1,0,1,0,0,1
859,1,1,1,0,0,1,0,1,1
860,0,1,1,1,0,1,1,0,1
861,1,1,1,0,0,1,0,1,1
862,1,0,0,0,1,1,1,0,0
863,1,1,0,0,0,0,0,0,0
864,1,1,1,0,1,1,0,1,0
865,0,1,1,1,0,0,1,0,0
866,1,1,0,1,0,0,0,1,0
867,1,1,0,0,0,0,0,0,0
868,0,0,1,1,1,0,0,0,1
869,0,0,1,1,0,0,0,0,0
870,1,1,1,0,0,1,0,1,1
871,0,1,1,0,0,1,1,1,1
872,1,0,0,1,0,0,1,1,0
873,0,1,0,1,1,1,1,1,0
874,1,1,0,0,0,0,0,0,0
875,0,0,1,0,1,1,0,1,0
876,1,1,1,1,0,0,0,0,0
877,1,1,1,0,0,0,0,1,0
878,0,1,1,0,1,1,1,1,0
879,1,0,0,0,1,0,1,0,1
880,0,0,0,0,0,0,0,0,0
881,1,0,1,1,0,1,1,0,1
882,1,0,0,0,1,1,1,0,0
883,1,0,1,0,1,1,1,1,0
884,0,0,1,0,0,0,0,1,0
885,1,0,1,0,0,1,1,1,1
886,0,0,1,1,0,1,0,0,1
887,1,1,0,1,1,0,0,1,1
888,0,1,1,0,0,0,1,1,0
889,1,0,0,0,1,1,1,0,0
890,0,1,0,0,1,1,1,0,0
891,1,0,1,0,1,0,1,1,1
892,1,0,0,0,1,0,1,0,1
893,0,1,0,0,0,0,1,0,0
894,1,0,0,1,1,0,1,1,1
895,1,1,1,1,0,1,0,0,1
896,0,0,1,1,0,1,0,0,1
897,0,1,0,0,1,0,1,0,1
898,1,0,1,0,0,0,1,1,0
899,1,0,0,1,1,1,1,1,0
900,1,0,0,1,1,0,1,1,1
901,1,1,1,0,1,0,0,1,1
902,0,1,0,1,0,0,1,1,0
903,0,0,1,1,1,0,0,0,1
904,1,0,1,0,0,0,1,1,0
905,0,0,0,0,0,1,0,0,1
906,1,1,1,0,0,1,0,1,1
907,1,0,1,0,1,1,1,1,0
908,1,0,1,1,1,0,1,0,1
909,1,1,0,1,1,0,0,1,1
910,0,0,1,1,1,1,0,0,0
911,1,0,1,0,1,0,1,1,1
912,1,0,1,0,0,0,1,1,0
913,1,0,1,0,0,1,1,1,1
914,0,1,1,0,0,0,1,1,0
915,1,1,1,1,1,0,0,0,1
916,1,0,1,1,0,1,1,0,1
917,1,0,0,1,0,0,1,1,0
918,0,1,1,1,1,0,1,0,1
919,1,0,0,1,0,0,1,1,0
920,1,1,0,0,1,0,0,0,1
921,1,1,1,1,0,1,0,0,1
922,1,0,0,1,0,0,1,1,0
923,1,1,0,0,0,0,0,0,0
924,0,0,0,0,1,1,0,0,0
925,0,1,1,0,0,1,1,1,1
926,1,0,1,0,1,0,1,1,1
927,1,0,0,1,1,1,1,1,0
928,0,1,1,1,0,1,1,0,1
929,0,0,1,1,0,1,0,0,1
930,1,0,0,1,1,0,1,1,1
931,0,1,1,0,0,1,1,1,1
932,0,0,1,1,1,1,0,0,0
933,0,0,0,1,1,1,0,1,0
934,1,0,1,0,0,1,1,1,1
935,0,1,0,0,0,0,1,0,0
936,0,1,0,1,1,0,1,1,1
937,1,0,1,0,1,1,1,1,0
938,1,0,1,1,1,0,1,0,1
939,0,0,0,0,0,1,0,0,1
940,1,1,1,0,1,0,0,1,1
941,1,0,0,0,0,1,1,0,1
942,0,0,0,0,1,1,0,0,0
943,0,1,1,0,1,1,1,1,0
944,1,1,0,1,1,1,0,1,0
945,0,0,1,1,0,1,0,0,1
946,1,1,0,0,0,0,0,0,0
947,1,0,1,0,0,0,1,1,0
948,1,0,1,1,0,0,1,0,0
949,0,1,0,1,0,0,1,1,0
950,0,1,1,0,0,0,1,1,0
951,1,1,0,0,0,0,0,0,0
952,0,1,0,0,1,0,1,0,1
953,0,0,0,0,0,0,0,0,0
954,0,0,1,1,0,0,0,0,0
955,1,1,0,0,0,1,0,0,1
956,1,0,1,0,1,1,1,1,0
957,1,0,1,1,0,0,1,0,0
958,1,1,0,1,1,0,0,1,1
959,0,0,0,0,1,1,0,0,0
960,0,0,0,1,1,0,0,1,1
961,1,0,1,1,1,0,1,0,1
962,0,1,1,1,0,1,1,0,1
963,1,1,0,1,1,0,0,1,1
964,0,0,0,0,1,0,0,0,1
965,0,1,1,0,0,1,1,1,1
966,0,0,1,1,1,1,0,0,0
967,1,1,0,0,0,0,0,0,0
968,0,0,1,0,0,0,0,1,0
969,1,1,0,1,1,1,0,1,0
970,0,1,0,0,1,0,1,0,1
971,1,0,1,0,1,0,1,1,1
972,0,0,1,1,1,0,0,0,1
973,0,0,1,0,1,1,0,1,0
974,0,1,0,0,1,0,1,0,1
975,0,0,0,0,1,0,0,0,1
976,0,0,0,0,0,1,0,0,1
977,0,1,1,1,0,0,1,0,0
978,0,1,0,0,1,0,1,0,1
979,1,1,1,1,0,1,0,0,1
980,1,0,1,0,1,0,1,1,1
981,1,0,0,1,0,1,1,1,1
982,1,0,1,0,1,0,1,1,1
983,1,0,1,1,0,1,1,0,1
984,0,0,0,1,0,1,0,1,1
985,1,0,1,0,0,0,1,1,0
986,1,1,0,1,0,1,0,1,1
987,1,1,0,0,0,1,0,0,1
988,1,1,1,1,0,1,0,0,1
989,0,0,0,0,0,0,0,0,0
990,1,1,1,1,0,0,0,0,0
991,1,0,1,0,0,1,1,1,1
992,1,0,0,1,1,0,1,1,1
993,0,1,0,1,0,1,1,1,1
994,1,1,0,0,0,0,0,0,0
995,0,1,1,1,1,0,1,0,1
996,0,0,1,0,1,0,0,1,1
997,1,0,1,1,1,0,1,0,1
998,1,1,0,1,1,1,0,1,0
999,0,0,1,0,1,0,0,1,1
1000,1,1,0,0,0,0,0,0,0
1001,0,0,1,1,1,1,0,0,0
1002,1,1,0,1,0,1,0,1,1
1003,0,0,0,1,1,0,0,1,1
1004,0,0,1,1,0,0,0,0,0
1005,1,0,1,1,0,0,1,0,0
1006,1,0,1,0,1,0,1,1,1
1007,1,1,0,1,0,0,0,1,0
1008,0,0,1,1,1,1,0,0,0
1009,1,0,0,1,0,1,1,1,1
1010,0,0,0,0,1,1,0,0,0
1011,1,0,0,0,0,1,1,0,1
1012,1,1,0,0,0,1,0,0,1
1013,0,0,0,1,0,1,0,1,1
1014,1,0,0,0,1,0,1,0,1
1015,0,1,1,1,0,0,1,0,0
1016,0,1,1,1,1,1,1,0,0
1017,1,0,0,1,1,1,1,1,0
1018,0,1,1,0,1,0,1,1,1
1019,1,0,1,0,0,1,1,1,1
1020,0,1,0,0,0,1,1,0,1
1021,0,1,1,0,1,1,1,1,0
1022,1,1,0,1,0,0,0,1,0
1023,1,1,0,0,1,0,0,0,1
1024,1,1,1,1,0,1,0,0,1
1025,0,1,0,1,0,1,1,1,1
1026,1,0,0,1,1,1,1,1,0
1027,0,1,1,1,1,0,1,0,1
1028,1,1,0,1,1,1,0,1,0
1029,1,0,0,1,1,0,1,1,1
1030,1,0,0,0,1,1,1,0,0
1031,1,1,0,1,1,1,0,1,0
1032,1,1,1,0,0,0,0,1,0
1033,0,1,0,1,0,0,1,1,0
1034,1,1,1,0,0,0,0,1,0
1035,1,1,1,1,1,0,0,0,1
1036,0,1,0,1,0,1,1,1,1
1037,0,0,0,0,1,0,0,0,1
1038,1,0,0,1,0,1,1,1,1
1039,0,0,0,1,1,0,0,1,1
1040,0,0,0,0,1,0,0,0,1
1041,1,1,1,0,0,0,0,1,0
1042,1,1,0,0,1,0,0,0,1
1043,0,0,1,1,1,0,0,0,1
1044,0,1,0,1,1,1,1,1,0
1045,0,0,0,1,1,1,0,1,0
1046,0,1,0,0,0,0,1,0,0
1047,0,0,1,1,0,1,0,0,1
1048,1,1,1,0,1,0,0,1,1
1049,1,0,1,0,1,1,1,1,0
1050,1,1,0,1,0,1,0,1,1
1051,1,0,1,0,0,1,1,1,1
1052,1,0,0,1,1,0,1,1,1
1053,0,0,1,0,0,1,0,1,1
1054,0,0,1,0,0,1,0,1,1
1055,0,0,1,1,0,0,0,0,0
1056,1,0,0,0,1,1,1,0,0
1057,0,0,1,1,1,0,0,0,1
1058,1,0,0,1,1,1,1,1,0
1059,1,0,1,0,1,0,1,1,1
1060,0,1,1,1,0,1,1,0,1
1061,1,1,1,1,1,1,0,0,0
1062,1,0,0,0,0,0,1,0,0
1063,0,0,0,0,0,0,0,0,0
1064,1,0,1,0,1,0,1,1,1
1065,1,0,1,0,1,0,1,1,1
1066,1,0,1,1,0,1,1,0,1
1067,1,1,0,1,1,0,0,1,1
1068,0,1,0,0,0,0,1,0,0
1069,1,0,0,1,0,0,1,1,0
1070,0,0,0,1,0,0,0,1,0
1071,0,1,1,0,0,1,1,1,1
1072,0,0,0,1,1,1,0,1,0
1073,1,1,0,0,0,0,0,0,0
1074,0,0,1,0,0,1,0,1,1
1075,0,0,1,1,1,1,0,0,0
1076,1,0,1,0,1,0,1,1,1
1077,1,0,1,0,1,0,1,1,1
1078,0,1,1,1,1,0,1,0,1
1079,1,1,0,1,1,0,0,1,1
1080,0,1,0,1,0,1,1,1,1
1081,1,1,1,0,0,0,0,1,0
1082,1,1,0,0,1,1,0,0,0
1083,1,1,0,1,0,1,0,1,1
1084,0,0,0,0,1,1,0,0,0
1085,1,1,0,1,1,1,0,1,0
1086,1,1,1,1,0,1,0,0,1
1087,1,0,1,0,1,0,1,1,1
1088,0,0,1,0,0,1,0,1,1
1089,1,0,1,1,1,1,1,0,0
1090,1,1,0,1,1,1,0,1,0
1091,0,0,1,1,1,0,0,0,1
1092,1,1,1,0,0,0,0,1,0
1093,0,0,1,1,0,0,0,0,0
1094,0,0,0,1,1,0,0,1,1
1095,1,1,0,0,1,1,0,0,0
1096,1,1,0,1,1,0,0,1,1
1097,1,0,1,1,0,0,1,0,0
1098,0,0,0,1,1,0,0,1,1
1099,0,1,0,1,1,0,1,1,1
1100,0,0,1,0,1,1,0,1,0
1101,0,1,0,0,1,1,1,0,0
1102,1,0,0,0,0,1,1,0,1
1103,0,0,1,1,0,0,0,0,0
1104,0,0,0,1,1,0,0,1,1
1105,0,1,1,0,0,1,1,1,1
1106,1,1,0,1,0,1,0,1,1
1107,0,0,1,1,0,0,0,0,0
1108,0,1,1,0,0,0,1,1,0
1109,1,1,1,0,1,1,0,1,0
1110,1,1,0,1,1,1,0,1,0
1111,1,1,1,1,1,1,0,0,0
1112,0,1,0,0,0,0,1,0,0
1113,1,1,1,1,0,1,0,0,1
1114,0,0,0,1,0,1,0,1,1
1115,1,0,1,1,1,1,1,0,0
1116,1,0,1,1,0,0,1,0,0
1117,1,1,0,0,1,1,0,0,0
1118,0,0,0,1,0,0,0,1,0
1119,1,0,0,0,1,0,1,0,1
1120,1,1,0,1,0,0,0,1,0
1121,1,1,1,0,1,1,0,1,0
1122,1,1,1,0,1,1,0,1,0
1123,1,0,0,0,1,0,1,0,1
1124,1,0,1,1,1,1,1,0,0
1125,0,0,1,0,0,0,0,1,0
1126,0,1,1,1,0,1,1,0,1
1127,1,1,1,0,1,1,0,1,0
1128,1,0,0,0,1,1,1,0,0
1129,0,0,0,1,0,1,0,1,1
1130,0,0,1,0,0,0,0,1,0
1131,0,1,1,0,0,0,1,1,0
1132,0,1,1,0,1,1,1,1,0
1133,1,0,0,0,1,0,1,0,1
1134,0,0,1,1,1,0,0,0,1
1135,1,0,1,1,0,1,1,0,1
1136,1,1,1,0,0,1,0,1,1
1137,0,0,0,0,0,1,0,0,1
1138,1,1,1,1,0,1,0,0,1
1139,1,0,0,1,0,0,1,1,0
1140,0,0,1,0,1,1,0,1,0
1141,1,1,0,1,0,1,0,1,1
1142,0,0,0,0,0,1,0,0,1
1143,0,1,1,0,0,0,1,1,0
1144,1,0,1,1,0,0,1,0,0
1145,0,0,1,1,1,1,0,0,0
1146,0,1,0,1,1,1,1,1,0
1147,0,0,0,1,0,0,0,1,0
1148,0,0,1,1,0,0,0,0,0
1149,0,0,0,1,0,0,0,1,0
1150,1,1,0,0,0,1,0,0,1
1151,1,0,0,1,0,0,1,1,0
1152,0,1,0,0,1,1,1,0,0
1153,1,1,1,1,0,0,0,0,0
1154,1,1,0,1,0,0,0,1,0
1155,1,0,0,0,1,1,1,0,0
1156,0,0,1,0,1,0,0,1,1
1157,1,1,1,0,0,1,0,1,1
1158,1,0,1,0,1,1,1,1,0
1159,1,1,1,0,0,0,0,1,0
1160,1,0,1,0,0,0,1,1,0
1161,0,0,1,1,0,0,0,0,0
1162,0,0,0,1,0,0,0,1,0
1163,0,0,1,0,1,0,0,1,1
1164,1,0,0,1,0,1,1,1,1
1165,0,1,1,0,1,0,1,1,1
1166,0,1,1,0,0,1,1,1,1
1167,1,0,1,1,1,1,1,0,0
1168,0,1,1,0,0,0,1,1,0
1169,1,1,1,1,1,1,0,0,0
1170,1,0,1,1,1,0,1,0,1
1171,0,0,1,1,1,1,0,0,0
1172,1,1,0,0,0,0,0,0,0
1173,0,1,0,1,0,0,1,1,0
1174,0,1,1,1,1,0,1,0,1
1175,1,1,0,1,1,1,0,1,0
1176,1,0,1,1,0,1,1,0,1
1177,1,1,0,0,0,0,0,0,0
1178,0,1,0,1,0,1,1,1,1
1179,1,1,0,0,1,1,0,0,0
1180,1,0,0,1,0,0,1,1,0
1181,0,0,0,0,0,0,0,0,0
1182,0,1,1,0,0,0,1,1,0
1183,0,1,0,0,1,0,1,0,1
1184,1,0,0,0,0,0,1,0,0
1185,1,0,0,0,1,1,1,0,0
1186,0,0,1,0,1,0,0,1,1
1187,0,1,0,1,0,0,1,1,0
1188,0,0,1,1,0,1,0,0,1
1189,0,0,1,0,1,0,0,1,1
1190,1,0,1,1,1,1,1,0,0
1191,1,0,0,1,1,0,1,1,1
1192,1,1,0,0,0,0,0,0,0
1193,1,1,1,0,0,0,0,1,0
1194,1,0,1,0,1,0,1,1,1
1195,0,0,0,1,1,1,0,1,0
1196,0,0,1,0,1,1,0,1,0
1197,0,0,0,0,1,1,0,0,0
1198,1,0,0,1,0,1,1,1,1
1199,0,0,1,1,0,1,0,0,1
1200,1,1,0,1,0,1,0,1,1
1201,1,0,0,0,1,0,1,0,1
1202,0,1,1,1,0,1,1,0,1
1203,0,0,0,0,0,1,0,0,1
1204,0,1,1,1,0,0,1,0,0
1205,0,1,1,0,0,0,1,1,0
1206,1,0,0,0,1,1,1,0,0
1207,1,1,0,0,0,1,0,0,1
1208,1,0,0,1,0,0,1,1,0
1209,1,1,0,0,1,1,0,0,0
1210,1,0,1,1,0,1,1,0,1
1211,0,1,0,1,0,0,1,1,0
1212,1,1,0,0,1,1,0,0,0
1213,1,1,0,0,1,1,0,0,0
1214,0,0,0,1,1,1,0,1,0
1215,0,0,0,0,1,1,0,0,0
1216,1,1,1,0,1,1,0,1,0
1217,1,0,0,1,1,1,1,1,0
1218,1,0,1,0,1,0,1,1,1
1219,0,1,0,0,0,1,1,0,1
1220,0,0,0,0,0,1,0,0,1
1221,0,0,0,1,1,1,0,1,0
1222,0,0,1,1,1,0,0,0,1
1223,0,0,1,1,1,1,0,0,0
1224,0,0,0,0,0,1,0,0,1
1225,0,1,0,1,0,1,1,1,1
1226,0,0,0,0,1,1,0,0,0
1227,0,1,0,1,1,1,1,1,0
1228,0,1,1,1,1,0,1,0,1
1229,0,0,1,1,0,0,0,0,0
1230,1,1,0,0,1,1,0,0,0
1231,1,0,1,0,0,1,1,1,1
1232,0,0,0,1,0,0,0,1,0
1233,0,0,0,0,1,1,0,0,0
1234,1,0,0,0,1,1,1,0,0
1235,1,1,1,0,1,0,0,1,1
1236,0,0,0,1,0,1,0,1,1
1237,1,1,0,0,1,1,0,0,0
1238,1,0,0,1,0,1,1,1,1
1239,1,0,0,1,0,1,1,1,1
1240,1,0,1,0,0,1,1,1,1
1241,1,0,0,0,1,0,1,0,1
1242,1,0,0,1,1,1,1,1,0
1243,0,1,0,1,1,1,1,1,0
1244,1,0,0,1,0,1,1,1,1
1245,1,1,1,0,0,0,0,1,0
1246,1,1,1,1,1,0,0,0,1
1247,0,1,1,1,1,0,1,0,1
1248,1,0,1,0,0,1,1,1,1
1249,0,1,1,0,1,1,1,1,0
1250,0,1,0,0,0,1,1,0,1
1251,0,1,0,0,1,1,1,0,0
1252,0,1,1,0,0,0,1,1,0
1253,1,1,1,0,1,0,0,1,1
1254,0,0,1,0,1,0,0,1,1
1255,1,1,1,1,0,1,0,0,1
1256,1,0,0,1,0,1,1,1,1
1257,1,1,0,1,0,0,0,1,0
1258,1,1,1,0,0,0,0,1,0
1259,0,1,1,0,0,0,1,1,0
1260,0,0,1,0,0,0,0,1,0
1261,0,1,1,0,0,0,1,1,0
1262,0,1,0,1,1,0,1,1,1
1263,1,1,0,0,0,1,0,0,1
1264,1,0,1,1,0,0,1,0,0
1265,1,1,0,1,1,0,0,1,1
1266,0,1,0,0,0,0,1,0,0
1267,1,0,0,0,0,0,1,0,0
1268,1,0,0,1,0,0,1,1,0
1269,1,1,1,1,1,0,0,0,1
1270,0,0,0,0,1,1,0,0,0
1271,0,0,0,0,1,0,0,0,1
1272,1,1,0,1,1,1,0,1,0
1273,0,0,1,0,0,0,0,1,0
1274,0,1,1,1,0,0,1,0,0
1275,1,0,1,1,1,0,1,0,1
1276,0,0,1,1,0,0,0,0,0
1277,0,1,0,0,1,1,1,0,0
1278,0,0,1,1,0,1,0,0,1
1279,1,0,0,0,0,1,1,0,1
1280,0,0,0,1,1,1,0,1,0
1281,0,0,1,0,1,0,0,1,1
1282,0,1,1,0,0,0,1,1,0
1283,1,1,0,0,1,1,0,0,0
1284,1,1,1,0,0,1,0,1,1
1285,1,0,0,0,1,1,1,0,0
1286,0,0,0,1,1,1,0,1,0
1287,1,1,1,0,1,1,0,1,0
1288,1,1,0,1,0,0,0,1,0
1289,0,1,1,0,0,1,1,1,1
1290,0,1,1,0,0,0,1,1,0
1291,0,1,1,1,1,1,1,0,0
1292,0,1,1,0,1,1,1,1,0
1293,0,0,1,1,1,1,0,0,0
1294,0,0,1,0,1,1,0,1,0
1295,0,0,0,0,1,0,0,0,1
1296,1,0,1,0,0,0,1,1,0
1297,0,1,1,0,0,0,1,1,0
1298,0,0,0,0,1,1,0,0,0
1299,1,0,0,0,0,1,1,0,1
1300,1,0,1,1,1,1,1,0,0
1301,0,1,0,1,1,0,1,1,1
1302,0,0,0,1,1,1,0,1,0
1303,0,1,1,0,1,1,1,1,0
1304,1,0,0,1,1,0,1,1,1
1305,1,0,0,1,0,0,1,1,0
1306,0,0,0,1,0,0,0,1,0
1307,0,1,0,1,1,1,1,1,0
1308,1,0,1,1,0,0,1,0,0
1309,1,1,0,1,0,1,0,1,1
1310,0,1,0,1,1,0,1,1,1
1311,0,0,1,1,1,0,0,0,1
1312,1,0,1,1,0,0,1,0,0
1313,0,1,0,1,1,1,1,1,0
1314,1,0,0,0,1,1,1,0,0
1315,1,0,0,0,0,1,1,0,1
1316,0,0,1,0,0,1,0,1,1
1317,1,1,0,0,0,0,0,0,0
1318,0,0,0,0,1,0,0,0,1
1319,1,1,1,1,0,0,0,0,0
1320,1,0,0,0,0,0,1,0,0
1321,0,0,1,0,1,0,0,1,1
1322,0,0,1,1,0,1,0,0,1
1323,0,0,0,0,1,1,0,0,0
1324,0,0,1,0,1,1,0,1,0
1325,1,0,1,0,0,0,1,1,0
1326,0,0,1,0,0,1,0,1,1
1327,0,0,1,0,0,0,0,1,0
1328,1,0,0,0,1,1,1,0,0
1329,0,1,1,1,1,1,1,0,0
1330,1,1,0,0,1,0,0,0,1
1331,0,1,1,0,0,1,1,1,1
1332,0,1,0,0,1,1,1,0,0
1333,1,0,1,0,0,1,1,1,1
1334,0,0,0,1,0,0,0,1,0
1335,1,1,1,1,1,0,0,0,1
1336,1,0,1,0,1,0,1,1,1
1337,1,0,1,1,0,1,1,0,1
1338,1,1,1,1,1,0,0,0,1
1339,1,0,1,1,1,0,1,0,1
1340,1,0,1,0,1,1,1,1,0
1341,1,0,0,1,1,1,1,1,0
1342,0,1,0,1,1,0,1,1,1
1343,1,1,0,1,0,0,0,1,0
1344,0,1,1,1,1,0,1,0,1
1345,1,1,0,0,0,1,0,0,1
1346,1,0,0,0,1,1,1,0,0
1347,1,1,0,0,1,0,0,0,1
1348,1,0,0,0,1,1,1,0,0
1349,1,0,0,1,1,0,1,1,1
1350,1,0,1,1,0,1,1,0,1
1351,0,1,0,1,1,1,1,1,0
1352,0,0,0,1,0,0,0,1,0
1353,1,0,1,1,1,0,1,0,1
1354,0,0,0,0,1,0,0,0,1
1355,0,0,0,1,1,0,0,1,1
1356,0,1,1,0,1,0,1,1,1
1357,0,0,1,1,0,0,0,0,0
1358,1,0,0,1,1,1,1,1,0
1359,1,0,1,0,1,1,1,1,0
1360,1,1,1,0,0,1,0,1,1
1361,1,0,1,1,1,0,1,0,1
1362,1,1,1,0,0,0,0,1,0
1363,1,0,0,1,1,1,1,1,0
1364,1,1,1,0,0,1,0,1,1
1365,0,1,1,1,1,1,1,0,0
1366,1,0,1,0,0,0,1,1,0
1367,1,0,1,0,1,0,1,1,1
1368,0,1,1,0,0,1,1,1,1
1369,1,0,0,0,0,1,1,0,1
1370,1,0,0,0,0,1,1,0,1
1371,0,1,0,1,1,0,1,1,1
1372,1,1,0,0,1,1,0,0,0
1373,0,1,1,1,0,1,1,0,1
1374,0,0,1,0,0,0,0,1,0
